replicate,generation,off.nbr,off.nbfem,off.nbmal,off.density,off.dvar,adlt.nbr,adlt.nbfem,adlt.nbmal,adlt.density,adlt.dvar,extrate,off.delfreq,off.delhmz,off.delhtz,off.delfix,off.delfixp,off.delsegr,off.delsegrp,off.delfst,off.lethequ,heterosis,load,adlt.delfreq,adlt.delhmz,adlt.delhtz,adlt.delfix,adlt.delfixp,adlt.delsegr,adlt.delsegrp,adlt.delfst,adlt.lethequ,heterosis,load,off.viab,off.viab.outb,off.viab.outw,off.viab.hsib,off.viab.fsib,off.viab.self,off.prop.outb,off.prop.outw,off.prop.hsibs,off.prop.fsibs,off.prop.self,adlt.viab,adlt.viab.outb,adlt.viab.outw,adlt.viab.hsib,adlt.viab.fsib,adlt.viab.self,adlt.prop.outb,adlt.prop.outw,adlt.prop.hsibs,adlt.prop.fsibs,adlt.prop.self,off.disp,off.fdisp,off.mdisp,adlt.disp,adlt.fdisp,adlt.mdisp,off.allnbp,off.allnb,off.fixlocp,off.fixloc,off.ho,off.hsnei,off.htnei,off.fis,off.fst,off.fit,adlt.allnbp,adlt.allnb,adlt.fixlocp,adlt.fixloc,adlt.ho,adlt.hsnei,adlt.htnei,adlt.fis,adlt.fst,adlt.fit
1,1,2120,216.8,207.2,2.12,0.00922,1000,100,100,1,0,0,8.49057e-05,0,0.000169811,0,0,30,7.2,0.00203438,3.07824e-05,nan,0.016,0,0,0,0,0,0,0,-nan,0,nan,0.016,0.999974,nan,0.999974,nan,nan,nan,0,1,0,0,0,1,1,nan,nan,nan,nan,1,0,0,0,0,0.503027,0.493709,0.512776,0.505109,0.503294,0.506925,12,12,0,0,0.914906,0.914052,0.91626,-0.000933567,0.00240984,0.00147852,12,12,0,0,0.91695,0.916516,0.916696,-0.000473307,0.000195932,-0.000277283
1,10,1615,201.25,202.5,2.01875,0.0186297,800,100,100,1,0,0.2,0.000959752,6.19195e-06,0.00190712,0,0,62,26,-0.00528424,0.00375064,-0.000456621,0.00535714,0.000775,0,0.00155,0,0,49,20,0.000829579,0.00249747,-0.000456621,0.00535714,0.999335,0.99926,0.999503,nan,1,nan,0.690402,0.308359,0,0.00123839,0,0.999412,0.999323,0.999619,1,1,nan,0.7025,0.295,0.00125,0.00125,0,0.499644,0.501586,0.497713,0.507329,0.515219,0.499439,12,12,0,0,0.913065,0.910904,0.912869,-0.00237259,0.00215274,-0.000214738,12,12,0,0,0.912687,0.913039,0.913316,0.000384574,0.000303765,0.000688222
1,20,2020,201,203,2.02,0.00177,989,97.8,100,0.989,0.000484,0,0.00186386,1.48515e-05,0.00369802,0,0,71,36,0.00142188,0.0101715,-0.00380783,0.0145857,0.00174419,0,0.00348837,0,0,58,30.6,0.000714459,0.00884173,-0.00380783,0.0145857,0.998664,0.998431,0.999056,1,0.997636,nan,0.615842,0.377228,0.000990099,0.00594059,0,0.998968,0.998923,0.999035,1,1,nan,0.644085,0.349848,0.00101112,0.00505561,0,0.531074,0.530368,0.531773,0.534145,0.532769,0.535491,12,12,0,0,0.908886,0.904866,0.90702,-0.00444285,0.00237496,-0.00205734,12,12,0,0,0.910415,0.90733,0.907498,-0.00340005,0.000185457,-0.00321396
1,30,1999,199.4,200.4,1.999,0.008594,998,100,99.6,0.998,1.6e-05,0,0.00285893,2.001e-05,0.00567784,0,0,82,44,0.00257131,0.0177976,0.00720898,0.0252333,0.00273547,2.00401e-05,0.00543086,0,0,65,39.8,0.000131647,0.0146733,0.00720898,0.0252333,0.997919,0.99838,0.997065,0.999993,nan,nan,0.637319,0.357179,0.00550275,0,0,0.99824,0.99824,0.998208,0.999999,1,nan,0.704409,0.290581,0.001002,0.00400802,0,0.538882,0.541166,0.536609,0.540265,0.533895,0.546662,12,12,0,0,0.904052,0.899825,0.902116,-0.00469751,0.00253896,-0.00214662,12,12,0,0,0.904609,0.902425,0.902895,-0.00241995,0.000519994,-0.0018987
1,40,1959,199,192.8,1.959,0.009994,1000,100,100,1,0,0,0.00386677,8.6779e-05,0.00755998,0,0,83,47.2,0.00198855,0.0236143,-0.00378973,0.0193524,0.003895,0.00011,0.00757,0,0,74,44,0.00133512,0.0256165,-0.00378973,0.0193524,0.998509,0.99854,0.998471,1,0.996252,nan,0.699336,0.295048,0.000510465,0.00510465,0,0.998491,0.998526,0.998457,0.995511,0.999961,nan,0.681,0.31,0.006,0.003,0,0.513829,0.521425,0.505989,0.502552,0.524478,0.480626,11.99,12,0,0,0.897473,0.895066,0.897209,-0.00268946,0.00238831,-0.000294727,11.99,12,0,0,0.8978,0.89728,0.897666,-0.000579921,0.000430123,-0.000149549
1,50,1939,187.4,200.4,1.939,0.008464,1000,100,100,1,0,0,0.00450232,0.000113461,0.00877772,0,0,86,49.6,0.00126791,0.0108153,-0.000127951,0.0268818,0.004275,0.0001,0.00835,0,0,76,48.2,0.000252409,0.00982822,-0.000127951,0.0268818,0.998435,0.998479,0.998345,0.984189,0.999952,nan,0.678185,0.317174,0.00051573,0.00412584,0,0.998514,0.998437,0.998674,nan,nan,nan,0.674,0.326,0,0,0,0.519063,0.551455,0.488772,0.528854,0.564831,0.492877,11.94,11.95,0,0,0.891516,0.890833,0.892854,-0.00076743,0.00226381,0.00149812,11.94,11.95,0,0,0.8935,0.893482,0.893654,-2.03877e-05,0.000192466,0.000172082
1,60,1998,198.6,201,1.998,0.003746,1000,100,100,1,0,0,0.0056031,0.000125125,0.010956,0,0,78,52,0.00136768,0.025854,-0.00270056,0.029269,0.005565,0.00019,0.01075,0,0,75,50.8,-0.000268138,0.023736,-0.00270056,0.029269,0.997652,0.997825,0.997268,0.999985,1,nan,0.667167,0.328328,0.0015015,0.003003,0,0.997659,0.997693,0.997534,0.999953,0.99989,nan,0.729,0.267,0.001,0.003,0,0.526254,0.569656,0.48337,0.525523,0.557367,0.493679,11.95,11.95,0,0,0.890916,0.887291,0.889327,-0.00408562,0.00228972,-0.00178655,11.95,11.95,0,0,0.8856,0.889015,0.889328,0.00384113,0.000352418,0.0041922
1,70,1972,195.8,198.6,1.972,0.006276,1000,100,100,1,0,0,0.00663032,0.000147059,0.0129665,0,0,79,52.6,0.0047352,0.035731,-0.0026406,0.0221667,0.00642,0.00013,0.01258,0,0,75,50,0.000749075,0.0344883,-0.0026406,0.0221667,0.998318,0.998379,0.998133,0.999916,0.999778,nan,0.740365,0.257606,0.0010142,0.0010142,0,0.998282,0.998052,0.998744,0.999871,nan,nan,0.673,0.323,0.004,0,0,0.524123,0.5755,0.473471,0.526102,0.581758,0.470446,11.89,11.9,0,0,0.891658,0.883748,0.88587,-0.00895024,0.00239433,-0.00653449,11.89,11.9,0,0,0.8852,0.885722,0.885973,0.000589049,0.000283122,0.000872004
1,80,2004,203.8,197,2.004,0.003974,1000,100,100,1,0,0,0.00722804,0.000184631,0.0140868,0,0,84,55.8,0.00237528,0.0354124,0.00979702,0.0188524,0.00714,0.00019,0.0139,0,0,72,54.6,0.000218423,0.0318543,0.00979702,0.0188524,0.997611,0.997919,0.99686,nan,1,nan,0.707585,0.291916,0,0.000499002,0,0.997788,0.997608,0.998136,1,1,nan,0.665,0.333,0.001,0.001,0,0.533612,0.572206,0.493686,0.526742,0.560126,0.493358,11.79,11.85,0,0,0.882485,0.87887,0.881108,-0.00411384,0.00254102,-0.00156237,11.79,11.85,0,0,0.881,0.880791,0.881459,-0.000237623,0.000757764,0.00052032
1,90,2041,206.8,201.4,2.041,0.006554,1000,100,100,1,0,0,0.00731259,0.000132288,0.0143606,0,0,84,61.4,0.00080289,0.0227323,1.43215e-05,0.0209722,0.007165,0.00015,0.01403,0,0,80,59.8,0.000179652,0.0185576,1.43215e-05,0.0209722,0.998348,0.998364,0.998297,0.999915,nan,nan,0.743753,0.255757,0.000489956,0,0,0.998455,0.998423,0.99855,0.997639,nan,nan,0.724,0.272,0.004,0,0,0.566516,0.592381,0.539958,0.561412,0.61056,0.512265,11.72,11.8,0,0,0.878662,0.875767,0.877774,-0.00330621,0.00228627,-0.00101238,11.73,11.8,0,0,0.87715,0.877745,0.877964,0.000677416,0.000249636,0.000926883
